seed,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time
seed,2,40,1,1,2,60163.1,45953.2,20,421,216
24587562,4,40,0,0,0,55876.7,16540.2,29,3600,148
seed,4,40,0,0,0,55876.7,16540.2,29,3600,146
seed,4,40,0,0,0,55876.7,16540.2,29,3600,146
24587578,4,40,1,0,0,66364.6,65460.2,4,600,102
seed,4,40,1,0,0,66364.6,65460.2,4,600,82
seed,4,40,1,0,0,66364.6,65460.2,4,600,83
24587593,4,40,0,1,0,57828.5,23097.4,52,3150,149
seed,4,40,0,1,0,57828.5,23097.4,52,3150,147
seed,4,40,0,1,0,57828.5,23097.4,52,3150,136
24587593,4,40,1,1,0,57828.5,48895.1,11,780,138
seed,4,40,1,1,0,57828.5,48895.1,11,780,151
seed,4,40,1,1,0,57828.5,48895.1,11,780,147
24587609,4,40,0,1,1,73936.4,23437.4,53,2815,183
seed,4,40,0,1,1,73936.4,23437.4,53,2815,128
seed,4,40,0,1,1,73936.4,23437.4,53,2815,131
24587625,4,40,1,1,1,49193.6,45174.7,11,927,109
seed,4,40,1,1,1,49193.6,45174.7,11,927,98
seed,4,40,1,1,1,49193.6,45174.7,11,927,101
24587625,4,40,0,1,2,49193.6,16489.5,36,1687,376
seed,4,40,0,1,2,58266.3,23015.4,52,2658,529
seed,4,40,0,1,2,58266.3,23015.4,52,2658,553
24587640,4,40,1,1,2,58266.3,37420.1,26,1120,312
seed,4,40,1,1,2,58266.3,37420.1,26,1120,290
seed,4,40,1,1,2,58266.3,37420.1,26,1120,284
24587656,8,40,0,0,0,57309.7,7048.1,34,9800,399
seed,8,40,0,0,0,57309.7,7048.1,34,9800,385
seed,8,40,0,0,0,57309.7,7048.1,34,9800,512
24587671,8,40,1,0,0,59939.5,57686.9,11,3360,337
seed,8,40,1,0,0,59939.5,57686.9,11,3360,338
seed,8,40,1,0,0,59939.5,57686.9,11,3360,378
24587687,8,40,0,1,0,54177.6,6909.52,98,8871,371
seed,8,40,0,1,0,54177.6,6909.52,98,8871,372
seed,8,40,0,1,0,54177.6,6909.52,98,8871,370
24587703,8,40,1,1,0,47242,44541.9,18,2759,236
seed,8,40,1,1,0,47242,44541.9,18,2759,217
seed,8,40,1,1,0,47242,44541.9,18,2759,223
24587703,8,40,0,1,1,47242,6331.19,100,11331,491
seed,8,40,0,1,1,47242,6331.19,100,11331,489
seed,8,40,0,1,1,47242,6331.19,100,11331,600
24587718,8,40,1,1,1,52224.3,42321.4,28,3767,398
seed,8,40,1,1,1,52224.3,42321.4,28,3767,380
seed,8,40,1,1,1,52224.3,42321.4,28,3767,380
24587734,8,40,0,1,2,48553.6,6771.79,99,9565,1389
seed,8,40,0,1,2,48553.6,6771.79,99,9565,1351
seed,8,40,0,1,2,48553.6,6771.79,99,9565,1322
24587750,8,40,1,1,2,51682.3,47852.1,14,2171,525
seed,8,40,1,1,2,51682.3,47852.1,14,2171,512
seed,8,40,1,1,2,51682.3,47852.1,14,2171,506
24587765,16,40,0,0,0,47420.5,2442.17,30,18600,676
seed,16,40,0,0,0,47420.5,2442.17,30,18600,672
seed,16,40,0,0,0,47420.5,2442.17,30,18600,681
24587765,16,40,1,0,0,47420.5,45716.7,17,10800,837
seed,16,40,1,0,0,47420.5,45716.7,17,10800,807
seed,16,40,1,0,0,39353.2,36958.3,15,9600,764
24587781,16,40,0,1,0,39353.2,2495.55,124,23864,894
seed,16,40,0,1,0,39353.2,2495.55,124,23864,903
seed,16,40,0,1,0,39353.2,2495.55,124,23864,888
24587796,16,40,1,1,0,55358,53374.9,14,3215,569
seed,16,40,1,1,0,55358,53374.9,14,3215,569
seed,16,40,1,1,0,55358,53374.9,14,3215,840
24587812,16,40,0,1,1,39949.3,2736.1,159,26413,1092
seed,16,40,0,1,1,39949.3,2736.1,159,26413,1098
seed,16,40,0,1,1,39949.3,2736.1,159,26413,1082
24587828,16,40,1,1,1,36182.5,33749.5,23,7463,733
seed,16,40,1,1,1,36182.5,33749.5,23,7463,722
seed,16,40,1,1,1,36182.5,33749.5,23,7463,720
24587843,16,40,0,1,2,46781.7,2241.08,162,22818,2782
seed,16,40,0,1,2,46781.7,2241.08,162,22818,2730
seed,16,40,0,1,2,46781.7,2241.08,162,22818,2601
24587859,16,40,1,1,2,50520,49083.2,17,4223,927
seed,16,40,1,1,2,50520,49083.2,17,4223,920
seed,16,40,1,1,2,50520,49083.2,17,4223,970
24587875,32,40,0,0,0,29339.2,1095.67,26,33480,1110
seed,32,40,0,0,0,29339.2,1095.67,26,33480,1231
seed,32,40,0,0,0,29339.2,1095.67,26,33480,1155
24587890,32,40,1,0,0,27742.4,27278.1,6,8680,1166
seed,32,40,1,0,0,27742.4,27278.1,6,8680,1164
seed,32,40,1,0,0,27742.4,27278.1,6,8680,1181
24587906,32,40,0,1,0,16029.5,387.083,58,22482,749
seed,32,40,0,1,0,16029.5,387.083,58,22482,748
seed,32,40,0,1,0,16029.5,387.083,58,22482,748
24587921,32,40,1,1,0,26001.4,25675.6,8,5175,1276
seed,32,40,1,1,0,26001.4,25675.6,8,5175,1199
seed,32,40,1,1,0,26001.4,25675.6,8,5175,1173
24587921,32,40,0,1,1,26001.4,715.186,76,21578,858
seed,32,40,0,1,1,31349.8,974.003,102,35244,1360
seed,32,40,0,1,1,31349.8,974.003,102,35244,1331
24587937,32,40,1,1,1,31349.8,31084.6,5,5044,1709
seed,32,40,1,1,1,22489,22450.9,2,1775,1171
seed,32,40,1,1,1,22489,22450.9,2,1775,987
24587968,32,40,0,1,2,27391.6,688.492,70,26870,3021
seed,32,40,0,1,2,27391.6,688.492,70,26870,2711
seed,32,40,0,1,2,27391.6,688.492,70,26870,2615
24587984,32,40,1,1,2,34860.8,34291.4,12,6808,1533
seed,32,40,1,1,2,34860.8,34291.4,12,6808,1610
seed,32,40,1,1,2,34860.8,34291.4,12,6808,1575
24588000,2,50,0,0,0,89043.4,89043.4,0,50,4
seed,2,50,0,0,0,89043.4,89043.4,0,50,2
seed,2,50,0,0,0,89043.4,89043.4,0,50,2
24588015,2,50,1,0,0,65135.4,60190.1,7,400,77
seed,2,50,1,0,0,65135.4,60190.1,7,400,63
seed,2,50,1,0,0,65135.4,60190.1,7,400,72
24588015,2,50,0,1,0,65135.4,65135.4,0,50,4
seed,2,50,0,1,0,65135.4,65135.4,0,50,2
seed,2,50,0,1,0,65135.4,65135.4,0,50,12
24588031,2,50,1,1,0,69629.3,55941.1,34,751,106
seed,2,50,1,1,0,69629.3,55941.1,34,751,85
seed,2,50,1,1,0,69629.3,55941.1,34,751,90
24588046,2,50,0,1,1,76973.2,76973.2,0,50,4
seed,2,50,0,1,1,76973.2,76973.2,0,50,2
seed,2,50,0,1,1,76973.2,76973.2,0,50,13
24588046,2,50,1,1,1,76973.2,62761.9,23,669,101
seed,2,50,1,1,1,76973.2,62761.9,23,669,80
seed,2,50,1,1,1,76973.2,62761.9,23,669,75
24588062,2,50,0,1,2,82325.5,82325.5,0,50,26
seed,2,50,0,1,2,82325.5,82325.5,0,50,23
seed,2,50,0,1,2,82325.5,82325.5,0,50,21
24588078,2,50,1,1,2,93283.6,92256.3,5,235,143
seed,2,50,1,1,2,93283.6,92256.3,5,235,177
seed,2,50,1,1,2,93283.6,92256.3,5,235,132
24588093,4,50,0,0,0,79666.5,24940.7,32,4950,218
seed,4,50,0,0,0,79666.5,24940.7,32,4950,209
seed,4,50,0,0,0,79666.5,24940.7,32,4950,210
24588093,4,50,1,0,0,79666.5,68246.6,12,1950,185
seed,4,50,1,0,0,79666.5,68246.6,12,1950,159
seed,4,50,1,0,0,79666.5,68246.6,12,1950,157
24588109,4,50,0,1,0,85041.6,35817.8,65,4057,186
seed,4,50,0,1,0,85041.6,35817.8,65,4057,176
seed,4,50,0,1,0,85041.6,35817.8,65,4057,190
24588125,4,50,1,1,0,79692,69426.2,23,1969,170
seed,4,50,1,1,0,79692,69426.2,23,1969,154
seed,4,50,1,1,0,79692,69426.2,23,1969,149
24588156,4,50,0,1,1,82473.1,27177.8,60,4657,202
seed,4,50,0,1,1,82473.1,27177.8,60,4657,222
seed,4,50,0,1,1,82473.1,27177.8,60,4657,213
24588156,4,50,1,1,1,82473.1,67363.2,27,2283,186
seed,4,50,1,1,1,62557.4,53806,28,1768,152
seed,4,50,1,1,1,62557.4,53806,28,1768,150
24588171,4,50,0,1,2,62557.4,25226.1,77,4469,984
seed,4,50,0,1,2,62557.4,25226.1,77,4469,910
seed,4,50,0,1,2,62557.4,25226.1,77,4469,881
24588187,4,50,1,1,2,87067.5,75896,17,1164,371
seed,4,50,1,1,2,87067.5,75896,17,1164,331
seed,4,50,1,1,2,87067.5,75896,17,1164,304
24588203,8,50,0,0,0,66042.9,9256.65,44,15750,949
seed,8,50,0,0,0,66042.9,9256.65,44,15750,1058
seed,8,50,0,0,0,66042.9,9256.65,44,15750,860
